EnergySource,EnergySourceType,YearValue,Generation_GWh,PLF_Percent
COAL,NON-RENEWABLE,2017,1082449.24,74.1
HYDRO,NON-RENEWABLE,2017,122521.203,0
BIOMASS-BAGASSE,RENEWABLE,2017,14158.64,0
SMALL HYDRO,RENEWABLE,2017,7672.661,0
SOLAR,RENEWABLE,2017,13564.023,0
RENEWABLES,RENEWABLE,2017,213.161,0
WIND,RENEWABLE,2017,48216.754,0
DIESEL,NON-RENEWABLE,2017,9457.034,0
NATURAL GAS,NON-RENEWABLE,2017,71922.881,0
COAL,NON-RENEWABLE,2018,1130458.329,52.07
HYDRO,NON-RENEWABLE,2018,126235.18,0
BIOMASS-BAGASSE,RENEWABLE,2018,15252.3,0
SMALL HYDRO,RENEWABLE,2018,7691.58,0
SOLAR,RENEWABLE,2018,26056.987,0
RENEWABLES,RENEWABLE,2018,358.45,0
WIND,RENEWABLE,2018,54808.342,0
DIESEL,NON-RENEWABLE,2018,8367.596,0
NATURAL GAS,NON-RENEWABLE,2018,75516.951,0
COAL,NON-RENEWABLE,2019,1206515.691,59.71
HYDRO,NON-RENEWABLE,2019,135163.649,0
BIOMASS-BAGASSE,RENEWABLE,2019,16326.489,0
SMALL HYDRO,RENEWABLE,2019,8702.751,0
SOLAR,RENEWABLE,2019,40047.918,0
RENEWABLES,RENEWABLE,2019,425.277,0
WIND,RENEWABLE,2019,64930.58,0
DIESEL,NON-RENEWABLE,2019,5459.122,0
NATURAL GAS,NON-RENEWABLE,2019,69377.976,0
COAL,NON-RENEWABLE,2020,1199742.768,62.26
HYDRO,NON-RENEWABLE,2020,156117.158,0
BIOMASS-BAGASSE,RENEWABLE,2020,13742.429,0
SMALL HYDRO,RENEWABLE,2020,9451.229,0
SOLAR,RENEWABLE,2020,51938.299,0
RENEWABLES,RENEWABLE,2020,365.895,0
WIND,RENEWABLE,2020,69149.642,0
DIESEL,NON-RENEWABLE,2020,2027.548,0
NATURAL GAS,NON-RENEWABLE,2020,73885.792,0
COAL,NON-RENEWABLE,2006,457521.45,0
HYDRO,NON-RENEWABLE,2006,103030.18,0
NATURAL GAS,NON-RENEWABLE,2006,80044.47,0
DIESEL,NON-RENEWABLE,2006,14242.13,0
HYDRO,NON-RENEWABLE,2007,113933.89,0
COAL,NON-RENEWABLE,2007,493567.6,79.61
NATURAL GAS,NON-RENEWABLE,2007,85337.7,0
DIESEL,NON-RENEWABLE,2007,12463.62,0
HYDRO,NON-RENEWABLE,2008,124077.63,0
COAL,NON-RENEWABLE,2008,519914.58,64.7
DIESEL,NON-RENEWABLE,2008,14035.22,0
NATURAL GAS,NON-RENEWABLE,2008,92783.78,0
SMALL HYDRO,RENEWABLE,2008,4332.362,0
WIND,RENEWABLE,2008,11065.371,0
BIOMASS-BAGASSE,RENEWABLE,2008,4068.231,0
WASTE,RENEWABLE,2008,59.657,0
SOLAR,RENEWABLE,2008,2.426,0
COAL,NON-RENEWABLE,2009,565663.73,0
HYDRO,NON-RENEWABLE,2009,113227.17,0
DIESEL,NON-RENEWABLE,2009,14790.72,0
NATURAL GAS,NON-RENEWABLE,2009,86687.33,0
SMALL HYDRO,RENEWABLE,2009,4778.177,0
WIND,RENEWABLE,2009,13199.54,0
BIOMASS-BAGASSE,RENEWABLE,2009,5163.981,0
WASTE,RENEWABLE,2009,60.133,0
SOLAR,RENEWABLE,2009,2.426,0
COAL,NON-RENEWABLE,2010,594727.35,0
HYDRO,NON-RENEWABLE,2010,106831.4,0
DIESEL,NON-RENEWABLE,2010,12460.61,0
NATURAL GAS,NON-RENEWABLE,2010,116389.32,0
SMALL HYDRO,RENEWABLE,2010,5450.488,0
WIND,RENEWABLE,2010,15171.851,0
BIOMASS-BAGASSE,RENEWABLE,2010,7510.744,0
WASTE,RENEWABLE,2010,59.686,0
SOLAR,RENEWABLE,2010,12.02,0
COAL,NON-RENEWABLE,2011,635517.99,0
HYDRO,NON-RENEWABLE,2011,114406.15,0
DIESEL,NON-RENEWABLE,2011,10747.44,0
NATURAL GAS,NON-RENEWABLE,2011,115692.38,0
SMALL HYDRO,RENEWABLE,2011,5951.39,0
WIND,RENEWABLE,2011,18313.438,0
BIOMASS-BAGASSE,RENEWABLE,2011,8882.037,0
WASTE,RENEWABLE,2011,60.786,0
SOLAR,RENEWABLE,2011,37.241,0
COAL,NON-RENEWABLE,2012,693773.9,0
HYDRO,NON-RENEWABLE,2012,130642.75,0
SMALL HYDRO,RENEWABLE,2012,6614.264,0
WIND,RENEWABLE,2012,21339.002,0
BIOMASS-BAGASSE,RENEWABLE,2012,10260.917,0
WASTE,RENEWABLE,2012,186.374,0
SOLAR,RENEWABLE,2012,1347.733,0
COAL,NON-RENEWABLE,2013,807006.81,0
HYDRO,NON-RENEWABLE,2013,113838.47,0
NATURAL GAS,NON-RENEWABLE,2013,87604.83,0
DIESEL,NON-RENEWABLE,2013,10489.97,0
SMALL HYDRO,RENEWABLE,2013,6950.847,0
WIND,RENEWABLE,2013,25355.877,0
BIOMASS-BAGASSE,RENEWABLE,2013,12259.323,0
WASTE,RENEWABLE,2013,186.469,0
SOLAR,RENEWABLE,2013,2337.616,0
COAL,NON-RENEWABLE,2014,866133.37,0
HYDRO,NON-RENEWABLE,2014,134976.59,0
NATURAL GAS,NON-RENEWABLE,2014,64433.82,0
DIESEL,NON-RENEWABLE,2014,10734.65,0
SMALL HYDRO,RENEWABLE,2014,7250.989,0
WIND,RENEWABLE,2014,28348.83,0
BIOMASS-BAGASSE,RENEWABLE,2014,13514.885,0
WASTE,RENEWABLE,2014,187.639,0
SOLAR,RENEWABLE,2014,3581.522,0
COAL,NON-RENEWABLE,2015,965646.05,0
HYDRO,NON-RENEWABLE,2015,129388.38,0
NATURAL GAS,NON-RENEWABLE,2015,62210.33,0
DIESEL,NON-RENEWABLE,2015,11126.99,0
SMALL HYDRO,RENEWABLE,2015,7758.46,0
WIND,RENEWABLE,2015,31930.113,0
BIOMASS-BAGASSE,RENEWABLE,2015,14670.772,0
WASTE,RENEWABLE,2015,188.737,0
SOLAR,RENEWABLE,2015,4925.094,0
COAL,NON-RENEWABLE,2016,1033386.15,0
HYDRO,NON-RENEWABLE,2016,121486.84,0
NATURAL GAS,NON-RENEWABLE,2016,68205.39,0
DIESEL,NON-RENEWABLE,2016,8818.07,0
BIOMASS-BAGASSE,RENEWABLE,2016,16680.499,0
SMALL HYDRO,RENEWABLE,2016,8354.51,0
SOLAR,RENEWABLE,2016,7478.543,0
WASTE,RENEWABLE,2016,268.532,0
WIND,RENEWABLE,2016,35044.847,0
RENEWABLES,RENEWABLE,2006,6642.79,0
WIND,RENEWABLE,2006,220.62,0
RENEWABLES,RENEWABLE,2007,9860.11,0
WIND,RENEWABLE,2007,215.88,0
NUCLEAR,NON-RENEWABLE,2017,37915.87,87.66
NUCLEAR,NON-RENEWABLE,2018,38346.12,94.34
NUCLEAR,NON-RENEWABLE,2019,37812.59,82.03
NUCLEAR,NON-RENEWABLE,2020,46472.45,98.09
NUCLEAR,NON-RENEWABLE,2006,17238.89,0
NUCLEAR,NON-RENEWABLE,2007,18606.75,26.56
NUCLEAR,NON-RENEWABLE,2008,16776.91,17.44
NUCLEAR,NON-RENEWABLE,2009,14712.59,19.21
NUCLEAR,NON-RENEWABLE,2010,18636.44,21.21
NUCLEAR,NON-RENEWABLE,2011,26266.4,48.94
NATURAL GAS,NON-RENEWABLE,2012,115436.01,89.82
NUCLEAR,NON-RENEWABLE,2012,32286.56,51.33
NUCLEAR,NON-RENEWABLE,2013,32866.11,65.93
NUCLEAR,NON-RENEWABLE,2014,34227.79,70.14
NUCLEAR,NON-RENEWABLE,2015,36101.54,74.99
NUCLEAR,NON-RENEWABLE,2016,37413.62,88.81
DIESEL,NON-RENEWABLE,2012,8705.61,0
LIGNITE,NON-RENEWABLE,2006,18120.3,0
LIGNITE,NON-RENEWABLE,2007,17544.5,0
LIGNITE,NON-RENEWABLE,2008,22147.52,74.5
LIGNITE,NON-RENEWABLE,2009,20397.2,0
LIGNITE,NON-RENEWABLE,2010,21277.58,85.92
LIGNITE,NON-RENEWABLE,2011,23483,67.32
LIGNITE,NON-RENEWABLE,2012,24394.18,71
NAPHTHA,NON-RENEWABLE,2017,26.38,0
NAPHTHA,NON-RENEWABLE,2018,52.96,0
NAPHTHA,NON-RENEWABLE,2019,0.86,0
RENEWABLES,RENEWABLE,2012,1178.18,0
